Ca2+ (nM),rep 1,Ca2+ (nM),rep 2,Ca2+ (nM),rep 3,Ca2+ (nM),rep 4,Ca2+ (nM),rep 5,Ca2+ (nM),rep 6
2,172457,2,231544,2,251329,1,316071,1,357465,1,354662
22,262848,22,347396,22,405412,18,693036,18,778923,18,771251
111,561613,111,689661,111,809152,36,893896,36,990099,36,975984
222,667742,222,747862,222,942829,71,1060786,71,1129316,71,1126589
333,736587,333,851462,333,948296,107,1199516,107,1239653,107,1249821
444,743997,444,887585,444,966407,214,1379411,214,1433445,214,1410321
666,766052,666,890035,666,946045,357,1466897,357,1533969,357,1520349
888,775546,888,899471,888,960051,535,1612807,535,1700118,535,1685715
1110,835185,1110,894735,1110,973529,714,1738972,714,1788044,714,1832285
1665,835133,1665,928507,1665,977324,1071,1683773,1071,1706909,1071,1763423
2220,864577,2220,893091,2220,983732,3212,1657865,3212,1646705,3212,1682014
11098,905027,11098,900123,11098,991800,27835,1676619,27835,1673121,27835,1720969
